date,score
8/9/2016,3.181818182
8/10/2016,3.076923077
8/11/2016,3.096153846
8/12/2016,3.387096774
8/13/2016,3.116666667
8/14/2016,2.545454545
8/15/2016,2.529411765
8/16/2016,2.482142857
8/17/2016,2.347222222
8/18/2016,3.410714286
8/19/2016,3.653846154
8/20/2016,3.291666667
8/21/2016,3.02
8/22/2016,3.611111111
8/23/2016,4.0625
8/24/2016,3.333333333
8/25/2016,2.935483871
8/26/2016,3.92
8/27/2016,3.875
8/28/2016,3.083333333
8/29/2016,3.678571429
8/30/2016,4.270833333
8/31/2016,2.6
9/1/2016,3.458333333
9/2/2016,3.895833333
9/3/2016,4.104166667
9/4/2016,4.729166667
9/5/2016,4.625
9/6/2016,3.604166667
9/7/2016,3.208333333
9/8/2016,3.12
9/9/2016,3.103448276
9/10/2016,2.888888889
9/11/2016,3.759259259
9/12/2016,4.604166667
9/13/2016,4.4375
9/14/2016,3.435483871
9/15/2016,3.770833333
9/16/2016,3.833333333
9/17/2016,3.104166667
9/18/2016,3
9/19/2016,3.045454545
9/20/2016,4.5
9/21/2016,4.354166667
9/22/2016,4.645833333
9/23/2016,4
9/24/2016,3.722222222
9/25/2016,4.229166667
9/26/2016,3.214285714
9/27/2016,4.229166667
9/28/2016,3.04
9/29/2016,1.963414634
9/30/2016,2.532258065
10/1/2016,2.828125
10/2/2016,2.703703704
10/3/2016,2.90625
10/4/2016,2.276315789
10/5/2016,4.145833333
10/6/2016,4.6875
10/7/2016,2.172413793
10/8/2016,2.816666667
10/9/2016,3.479166667
10/10/2016,4.479166667
10/11/2016,3.416666667
10/12/2016,4.166666667
10/13/2016,3.140625
10/14/2016,4.25
10/15/2016,4.354166667
10/16/2016,3.520833333
10/17/2016,3.875
10/18/2016,3.458333333
10/19/2016,3.216666667
10/20/2016,1.670454545
10/21/2016,1.224137931
10/22/2016,2.722222222
10/23/2016,3.541666667
10/24/2016,3.166666667
10/25/2016,3.666666667
10/26/2016,2.6
10/27/2016,2.392857143
10/28/2016,3.321428571
10/29/2016,3.458333333
10/30/2016,2.35
10/31/2016,3.208333333
11/1/2016,3.25
11/2/2016,3.583333333
11/3/2016,2.887096774
11/4/2016,4.375
11/5/2016,4.770833333
11/6/2016,4.666666667
11/7/2016,5
11/8/2016,2.86
11/9/2016,2.515625
11/10/2016,4.477272727
11/11/2016,3.45
11/12/2016,4.854166667
11/13/2016,5
11/14/2016,3.760869565
11/15/2016,3.645833333
11/16/2016,3.519230769
11/17/2016,2.696969697
11/18/2016,4.6875
11/19/2016,1.602941176
11/20/2016,0.75
11/21/2016,3.041666667
11/22/2016,3.74
11/23/2016,3.208333333
11/24/2016,1.467741935
11/25/2016,2.862068966
11/26/2016,2.557692308
11/27/2016,3.5
11/28/2016,3.645833333
11/29/2016,3.339285714
11/30/2016,2
12/1/2016,2.863636364
12/2/2016,2.672413793
12/3/2016,2.557692308
12/4/2016,2.86
12/5/2016,2.942307692
12/6/2016,1.09375
12/7/2016,3.518518519
12/8/2016,1.672413793
12/9/2016,2.883333333
12/10/2016,1.327586207
12/11/2016,1.121212121
12/12/2016,2.732142857
12/13/2016,0.385714286
12/14/2016,3.203703704
12/15/2016,3.275862069
12/16/2016,3
12/17/2016,1.296875
12/18/2016,1.15
12/19/2016,3.538461538
12/20/2016,3.9375
12/21/2016,3.479166667
12/22/2016,2.948275862
12/23/2016,3.56
12/24/2016,1.903225806
12/25/2016,2.775862069
12/26/2016,2.625
12/27/2016,3.854166667
12/28/2016,3.72
12/29/2016,2.272727273
12/30/2016,2.403846154
12/31/2016,2.54
